"yes_weekday_factor","rsvp_yes_cumsum_weekday","yes_year_factor"
"Sun",4,"2015"
"Mon",5,"2015"
"Tue",7,"2015"
"Wed",8,"2015"
"Thu",3,"2015"
"Fri",8,"2015"
"Sat",6,"2015"
"Sun",5,"2016"
"Mon",23,"2016"
"Tue",17,"2016"
"Wed",17,"2016"
"Thu",11,"2016"
"Fri",39,"2016"
"Sat",7,"2016"
"Sun",10,"2017"
"Mon",20,"2017"
"Tue",14,"2017"
"Wed",17,"2017"
"Thu",21,"2017"
"Fri",20,"2017"
"Sat",7,"2017"
"Sun",11,"2018"
"Mon",23,"2018"
"Tue",30,"2018"
"Wed",35,"2018"
"Thu",29,"2018"
"Fri",21,"2018"
"Sat",8,"2018"
"Sun",12,"2019"
"Mon",17,"2019"
"Tue",25,"2019"
"Wed",22,"2019"
"Thu",43,"2019"
"Fri",24,"2019"
"Sat",10,"2019"
"Sun",12,"2020"
"Mon",16,"2020"
"Tue",15,"2020"
"Wed",12,"2020"
"Thu",25,"2020"
"Fri",9,"2020"
"Sat",11,"2020"
